"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"286"	28	1	"04/16/16 01:38:50"	1460770634.47692	-22.578	0.185	9999999	0	-8.256	9.797	71.317	0.09	0.79	0.001	51.302	0	9999999	0	26.281	0.072	0.296	0.003	0.559	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	869	" Mtot = 1020.11."	"04/16/16"	"01:38:50"	1460770634.47692	10000050.302	72.107	26.577	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"287"	29	1	"04/16/16 01:49:02"	1460771246.99974	-22.741	0.202	9999999	0	-6.966	7.985	70.992	0.09	0.788	0.001	56.484	0	9999999	0	26.51	0.07	0.3	0.002	0.706	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	869	" Mtot = 1020.11."	"04/16/16"	"01:49:02"	1460771246.99974	10000055.484	71.78	26.81	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"288"	30	1	"04/16/16 02:00:03"	1460771907.54487	-22.647	0.172	9999999	0	-9.191	9.545	74.534	0.093	0.827	0.001	55.046	0	9999999	0	26.848	0.072	0.302	0.003	0.639	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	869	" Mtot = 928.88. Pssim = 869.1."	"04/16/16"	"02:00:03"	1460771907.54487	10000054.046	75.361	27.15	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"289"	31	1	"04/16/16 02:10:23"	1460772527.01288	-22.757	0.186	9999999	0	-7.725	7.961	73.773	0.092	0.819	0.001	53.524	0	9999999	0	26.378	0.095	0.298	0.002	0.665	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	869	" Mtot = 928.88."	"04/16/16"	"02:10:23"	1460772527.01288	10000052.524	74.592	26.676	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"290"	32	1	"04/16/16 02:20:48"	1460773152.85513	-22.633	0.161	9999999	0	-12.161	8.923	77.264	0.098	0.856	0.001	64.843	0	9999999	0	25.47	0.081	0.286	0.003	0.553	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	869	" Mtot = 850.32."	"04/16/16"	"02:20:48"	1460773152.85513	10000063.843	78.12	25.756	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"291"	33	1	"04/16/16 02:32:22"	1460773846.74348	-22.693	0.162	9999999	0	-13.261	10.717	76.454	0.096	0.845	0.001	63.965	0	9999999	0	25.141	0.069	0.281	0.003	0.417	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	869	" Mtot = 850.32."	"04/16/16"	"02:32:22"	1460773846.74348	10000062.965	77.299	25.422	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"292"	34	1	"04/16/16 02:42:21"	1460774445.93441	-22.647	0.155	9999999	0	-13.987	9.773	79.101	0.101	0.873	0.001	53.753	0	9999999	0	29.106	0.079	0.324	0.003	0.332	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	869	" Mtot = 790.55."	"04/16/16"	"02:42:21"	1460774445.93441	10000052.753	79.974	29.43	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"293"	35	1	"04/16/16 02:52:56"	1460775080.26244	-22.55	0.143	9999999	0	-12.77	9.935	78.974	0.098	0.872	0.001	56.311	0	9999999	0	29.072	0.088	0.325	0.003	0.368	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	869	" Mtot = 790.55. Pssim = 868.5."	"04/16/16"	"02:52:56"	1460775080.26244	10000055.311	79.846	29.397	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
"321"	27	1	"04/16/16 17:04:52"	1460826191.16838	-66.869	2.847	-71.651	1.795	-3.533	0.308	3.036	0.008	0.032	0	3.088	0.004	0.033	0	1270.867	0.575	14.548	0.007	1.234	0.003	0	NA	NA	NA	NA	NA	NA	" 21"	48	15	879	" mtotal=1010.19. Pssim= 879."	"04/16/16"	"17:04:52"	1460826191.16838	3.121	3.068	1285.415	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-71.651
"322"	28	1	"04/16/16 17:16:56"	1460826916.87158	-67.662	2.565	-71.402	1.667	-3.443	0.333	3.09	0.008	0.033	0	3.146	0.004	0.033	0	1275.118	0.521	14.638	0.007	1.382	0.003	0	NA	NA	NA	NA	NA	NA	" 21"	48	15	879	" mtotal=1010.19. "	"04/16/16"	"17:16:56"	1460826916.87158	3.179	3.123	1289.756	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-71.402
"323"	29	1	"04/16/16 17:27:54"	1460827573.27713	-68.568	2.116	-71.343	1.682	-3.436	0.288	3.142	0.007	0.034	0	3.208	0.004	0.034	0	1258.271	0.589	14.521	0.007	1.663	0.003	0	NA	NA	NA	NA	NA	NA	" 21"	48	15	879	" mtotal=1010.19. Pssim= 879."	"04/16/16"	"17:27:54"	1460827573.27713	3.242	3.176	1272.792	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-71.343
"324"	30	1	"04/16/16 17:39:57"	1460828298.00735	-68.583	2.706	-71.425	1.737	-3.454	0.323	3.267	0.008	0.035	0	3.332	0.004	0.036	0	1268.06	0.571	14.635	0.007	1.666	0.003	0	NA	NA	NA	NA	NA	NA	" 21"	48	15	879	" mtotal=1010.19. "	"04/16/16"	"17:39:57"	1460828298.00735	3.368	3.302	1282.695	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-71.425
"326"	32	1	"04/16/16 18:04:59"	1460829799.59906	-64.341	3.647	-63.09	2.185	-3.067	0.375	2.21	0.007	0.024	0	2.278	0.003	0.025	0	1072.931	0.531	12.427	0.006	1.832	0.002	0	NA	NA	NA	NA	NA	NA	" 9"	49	15	879	" mtotal=819.83. Pssim= 878.6 Torr."	"04/16/16"	"18:04:59"	1460829799.59906	2.303	2.234	1085.358	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-63.09
"327"	33	1	"04/16/16 18:18:39"	1460830619.47011	-66.176	3.571	-64.103	2.28	-3.079	0.363	2.274	0.007	0.025	0	2.342	0.003	0.025	0	1085.72	0.45	12.59	0.006	1.898	0.003	0	NA	NA	NA	NA	NA	NA	" 9"	49	15	879	" mtotal=819.83."	"04/16/16"	"18:18:39"	1460830619.47011	2.367	2.299	1098.31	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-64.103
"328"	34	1	"04/16/16 18:33:57"	1460831535.87739	-59.855	2.767	-63.125	2.222	-3.623	0.354	2.467	0.006	0.027	0	2.53	0.003	0.027	0	1115.012	0.473	12.824	0.007	1.494	0.003	0	NA	NA	NA	NA	NA	NA	" 9"	49	15	879	" mtotal=819.83. Paper changed and septum replaced."	"04/16/16"	"18:33:57"	1460831535.87739	2.557	2.494	1127.836	NA	NA	1027.67	8	770.815889460309	1.52046684042876	0	-63.125
"329"	35	1	"04/16/16 18:47:30"	1460832349.94158	-60.78	2.191	-62.209	1.987	-3.542	0.313	2.54	0.006	0.028	0	2.608	0.003	0.028	0	1099.986	0.438	12.706	0.006	1.716	0.003	0	NA	NA	NA	NA	NA	NA	" 9"	49	15	878	" mtotal=819.83. Pssim=878 Torr."	"04/16/16"	"18:47:30"	1460832349.94158	2.636	2.568	1112.692	NA	NA	1027.67	8	770.815889460309	1.51873707155455	0	-62.209
"371"	14	1	"04/17/16 12:52:42"	1460897461.60043	-72.644	2.271	-74.279	1.86	-8.148	0.828	2.948	0.008	0.031	0	2.975	0.004	0.031	0	339.261	0.247	3.84	0.004	0.865	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	10	838	" mtotal=622.79. Pssim=838.0 Torr."	"04/17/16"	"12:52:42"	1460897461.60043	3.006	2.979	343.101	NA	NA	1028.31	9	771.295928937237	2.17296622103185	0	-74.279
"372"	15	1	"04/17/16 13:03:06"	1460898086.29343	-75.945	2.21	-73.356	1.846	-8.485	0.742	2.87	0.007	0.031	0	2.915	0.004	0.031	0	340.571	0.243	3.9	0.005	1.518	0.003	0	NA	NA	NA	NA	NA	NA	"7"	7	10	838	" mtotal=622.79."	"04/17/16"	"13:03:06"	1460898086.29343	2.946	2.901	344.471	NA	NA	1028.31	9	771.295928937237	2.17296622103185	0	-73.356
"396"	39	1	"04/17/16 17:37:23"	1460914543.48614	-38.915	0.867	-39.391	0.666	-10.348	1.557	9.699	0.016	0.105	0	9.699	0.015	0.105	0	159.36	0.134	1.781	0.003	0.287	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	837	" mtotal=924.5. Pssim=836.7 Torr. 10mL glass syringe used for subsequent injections."	"04/17/16"	"17:37:23"	1460914543.48614	9.804	9.804	161.141	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-39.391
"397"	40	1	"04/17/16 17:47:26"	1460915145.42964	-39.594	0.968	-40.021	0.677	-9.295	1.66	9.588	0.017	0.104	0	9.589	0.015	0.104	0	150.753	0.147	1.688	0.003	0.344	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	837	" mtotal=924.5. "	"04/17/16"	"17:47:26"	1460915145.42964	9.693	9.692	152.441	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-40.021
"398"	41	1	"04/17/16 17:57:36"	1460915756.67905	-37.057	0.795	-36.814	0.679	-9.373	2.029	9.284	0.014	0.101	0	9.293	0.015	0.101	0	133.276	0.14	1.498	0.003	0.544	0.001	0	NA	NA	NA	NA	NA	NA	"11"	11	3	837	"  mtotal=820.85. Pssim=836.6 Torr."	"04/17/16"	"17:57:36"	1460915756.67905	9.394	9.385	134.774	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.814
"399"	42	1	"04/17/16 18:07:27"	1460916346.79786	-37.528	0.796	-36.889	0.561	-9.419	1.818	8.979	0.016	0.098	0	8.994	0.014	0.098	0	131.789	0.148	1.487	0.003	0.762	0.001	0	NA	NA	NA	NA	NA	NA	"11"	11	3	837	" mtotal=820.85. "	"04/17/16"	"18:07:27"	1460916346.79786	9.092	9.077	133.276	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.889
"400"	43	1	"04/17/16 18:17:32"	1460916951.3841	-37.441	0.779	-37.04	0.555	-9.755	2.008	9.009	0.015	0.099	0	9.023	0.014	0.098	0	130.835	0.144	1.474	0.003	0.699	0.001	0	NA	NA	NA	NA	NA	NA	"11"	11	3	837	" mtotal=820.85. "	"04/17/16"	"18:17:32"	1460916951.3841	9.121	9.108	132.309	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-37.04
"401"	44	1	"04/17/16 18:27:43"	1460917563.07865	-37.364	0.746	-36.785	0.589	-9.253	2.362	9.428	0.015	0.103	0	9.447	0.015	0.103	0	122.3	0.126	1.382	0.003	0.83	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	837	" mtotal=778.22. Pssim=836.5 Torr."	"04/17/16"	"18:27:43"	1460917563.07865	9.55	9.531	123.682	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.785
"403"	46	1	"04/17/16 18:48:37"	1460918816.38356	-37.558	0.83	-36.764	0.648	-9.491	2.266	9.334	0.016	0.103	0	9.357	0.014	0.103	0	119.445	0.14	1.353	0.003	0.975	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	837	" mtotal=778.22."	"04/17/16"	"18:48:37"	1460918816.38356	9.46	9.437	120.798	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.764
"404"	47	1	"04/17/16 18:59:24"	1460919464.34762	-37.468	0.921	-36.599	0.73	-9.084	2.411	8.64	0.014	0.095	0	8.662	0.013	0.095	0	115.996	0.127	1.313	0.003	0.924	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	837	" mtotal=892.68. Pssim=836.5 Torr."	"04/17/16"	"18:59:24"	1460919464.34762	8.757	8.735	117.309	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.599
"405"	48	1	"04/17/16 19:09:59"	1460920098.72146	-37.58	0.849	-36.517	0.704	-8.183	2.089	8.803	0.015	0.097	0	8.83	0.014	0.097	0	115.857	0.132	1.316	0.003	1.079	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	837	" mtotal=892.68."	"04/17/16"	"19:09:59"	1460920098.72146	8.927	8.9	117.173	NA	NA	1028.31	9	771.295928937237	7.23457727527311	0	-36.517
"406"	49	1	"04/17/16 19:20:37"	1460920736.51827	-37.679	1.003	-36.577	0.631	-9.362	2.201	8.249	0.013	0.091	0	8.271	0.013	0.091	0	119.794	0.116	1.356	0.003	0.947	0.001	0	NA	NA	NA	NA	NA	NA	"20"	20	3	836	" mtotal=830.48. "	"04/17/16"	"19:20:37"	1460920736.51827	8.362	8.34	121.15	NA	NA	1028.31	9	771.295928937237	7.22593381377338	0	-36.577
"407"	50	1	"04/17/16 19:30:35"	1460921335.39902	-37.472	0.899	-36.762	0.642	-8.814	2.004	8.301	0.015	0.091	0	8.318	0.013	0.091	0	116.966	0.119	1.321	0.003	0.773	0.002	0	NA	NA	NA	NA	NA	NA	"20"	20	3	836	" mtotal=830.48. Pssim=836.3 Torr."	"04/17/16"	"19:30:35"	1460921335.39902	8.409	8.392	118.287	NA	NA	1028.31	9	771.295928937237	7.22593381377338	0	-36.762
"417"	60	1	"04/17/16 21:51:28"	1460929787.35403	-39.737	1.671	-39.767	1.203	-9.834	1.474	4.258	0.01	0.046	0	4.264	0.006	0.046	0	178.677	0.138	2	0.003	0.345	0	0	NA	NA	NA	NA	NA	NA	"26"	26	5	836	" mtotal=872.42. Pssim=835.9 Torr."	"04/17/16"	"21:51:28"	1460929787.35403	4.31	4.304	180.677	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.767
"418"	61	1	"04/17/16 22:01:47"	1460930407.35414	-40.135	1.705	-39.818	1.103	-9.591	1.513	4.25	0.009	0.046	0	4.261	0.007	0.046	0	182.549	0.158	2.049	0.003	0.48	0.001	0	NA	NA	NA	NA	NA	NA	"26"	26	5	836	" mtotal=872.42."	"04/17/16"	"22:01:47"	1460930407.35414	4.307	4.296	184.598	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.818
"419"	62	1	"04/17/16 22:11:53"	1460931013.78917	-39.989	1.582	-39.08	1.075	-9.508	1.398	4.416	0.009	0.048	0	4.427	0.007	0.048	0	180.065	0.168	2.023	0.003	0.54	0.001	0	NA	NA	NA	NA	NA	NA	"29"	29	5	836	" mtotal=755.10. Pssim=835.7 Torr."	"04/17/16"	"22:11:53"	1460931013.78917	4.475	4.464	182.088	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.08
"420"	63	1	"04/17/16 22:21:48"	1460931607.84866	-40.048	1.62	-39.059	1.382	-9.967	1.376	4.398	0.009	0.048	0	4.415	0.007	0.048	0	180.719	0.155	2.034	0.003	0.654	0.001	0	NA	NA	NA	NA	NA	NA	"29"	29	5	836	" mtotal=755.10. "	"04/17/16"	"22:21:48"	1460931607.84866	4.463	4.446	182.753	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.059
"421"	64	1	"04/17/16 22:31:52"	1460932212.16433	-39.77	1.711	-39.064	0.983	-9.451	1.515	4.483	0.011	0.049	0	4.499	0.007	0.049	0	179.599	0.169	2.021	0.004	0.629	0.001	0	NA	NA	NA	NA	NA	NA	"33"	33	5	836	" mtotal=729.12. Pssim=835.8 Torr."	"04/17/16"	"22:31:52"	1460932212.16433	4.548	4.532	181.62	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.064
"422"	65	1	"04/17/16 22:41:57"	1460932817.14559	-39.229	1.694	-38.32	1.1	-9.88	1.41	4.444	0.009	0.048	0	4.46	0.007	0.049	0	177.617	0.154	1.998	0.003	0.63	0.001	0	NA	NA	NA	NA	NA	NA	"33"	33	5	836	" mtotal=729.12."	"04/17/16"	"22:41:57"	1460932817.14559	4.509	4.492	179.615	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-38.32
"423"	66	1	"04/17/16 22:52:34"	1460933454.0196	-40.492	1.652	-39.885	1.198	-10.176	1.35	4.535	0.01	0.049	0	4.552	0.007	0.049	0	191.904	0.159	2.159	0.003	0.639	0.001	0	NA	NA	NA	NA	NA	NA	"37"	37	5	836	" mtotal=740.40. Pssim=836.0 Torr."	"04/17/16"	"22:52:34"	1460933454.0196	4.601	4.584	194.063	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.885
"424"	67	1	"04/17/16 23:02:59"	1460934079.32841	-40.825	1.876	-39.652	1.24	-9.866	1.447	4.424	0.01	0.048	0	4.446	0.007	0.048	0	194.009	0.161	2.19	0.004	0.806	0.001	0	NA	NA	NA	NA	NA	NA	"37"	37	5	836	" mtotal=740.40."	"04/17/16"	"23:02:59"	1460934079.32841	4.494	4.472	196.199	NA	NA	1028.31	9	771.295928937237	4.33556028826403	0	-39.652
"443"	15	1	"04/18/16 11:16:40"	1460978099.7129	-22.413	0.168	9999999	0	-24.16	11.304	82.574	0.117	0.907	0.001	53.99	0	9999999	0	25.732	0.076	0.282	0.003	0.011	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	835	" mtotal=755.23. Pssim=834.6 Torr. 1mL glass syringe."	"04/18/16"	"11:16:40"	1460978099.7129	10000052.99	83.481	26.014	NA	NA	1025.71	10	769.345768562217	21.7067548590143	0	9999999
"444"	16	1	"04/18/16 11:27:11"	1460978731.07606	-22.434	0.152	9999999	0	-25.556	8.964	80.611	0.127	0.886	0.001	63.807	0	9999999	0	25.39	0.092	0.278	0.002	0.015	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	835	" mtotal=755.23. 1mL glass syringe."	"04/18/16"	"11:27:11"	1460978731.07606	10000062.807	81.497	25.668	NA	NA	1025.71	10	769.345768562217	21.7067548590143	0	9999999
"445"	17	1	"04/18/16 11:37:11"	1460979330.86592	-21.833	0.146	9999999	0	-16.791	4.216	82.422	0.122	0.906	0.001	66.795	0	9999999	0	60.038	0.089	0.663	0.003	0.007	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	834	" mtotal=755.23. 10mL glass syringe. to test if 1mL syringe was contaminated."	"04/18/16"	"11:37:11"	1460979330.86592	10000065.795	83.328	60.701	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"446"	18	1	"04/18/16 11:47:47"	1460979966.35962	-22.348	0.148	9999999	0	-27.129	9.748	90.69	0.141	0.996	0.002	59.925	0	9999999	0	26.749	0.081	0.292	0.003	0.011	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	834	" mtotal=494.79 from here 1mL syringe was used for further injections."	"04/18/16"	"11:47:47"	1460979966.35962	10000058.925	91.686	27.041	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"447"	19	1	"04/18/16 11:58:32"	1460980612.18325	-22.411	0.156	9999999	0	-27.362	9.241	90.268	0.142	0.992	0.002	70.647	0	9999999	0	25.735	0.096	0.281	0.003	0.01	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	834	" mtotal=494.79. Pssim=834.1 Torr. "	"04/18/16"	"11:58:32"	1460980612.18325	10000069.647	91.26	26.016	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"448"	20	1	"04/18/16 12:09:01"	1460981241.38944	-22.387	0.173	9999999	0	-24.832	8.964	76.123	0.115	0.837	0.001	51.951	0	9999999	0	26.788	0.08	0.294	0.003	0.021	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	834	" mtotal=477.33. Pssim=834.3 Torr. "	"04/18/16"	"12:09:01"	1460981241.38944	10000050.951	76.96	27.082	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"449"	21	1	"04/18/16 12:19:20"	1460981860.1392	-22.425	0.156	9999999	0	-21.845	9.078	75.845	0.118	0.833	0.001	52.172	0	9999999	0	26.085	0.079	0.287	0.002	0.01	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	834	" mtotal=477.33. "	"04/18/16"	"12:19:20"	1460981860.1392	10000051.172	76.678	26.372	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"450"	22	1	"04/18/16 12:29:28"	1460982467.95657	-22.425	0.145	9999999	0	-21.532	9.205	81.794	0.127	0.899	0.001	66.495	0	9999999	0	29.327	0.082	0.323	0.003	0.008	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	834	" mtotal=762.58. Pssim=834.3 Torr."	"04/18/16"	"12:29:28"	1460982467.95657	10000065.495	82.693	29.65	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"451"	23	1	"04/18/16 12:39:52"	1460983092.12899	-22.433	0.188	9999999	0	-23.586	9.266	81.783	0.113	0.899	0.001	63.371	0	9999999	0	29.632	0.084	0.325	0.003	0.009	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	834	" mtotal=762.58. "	"04/18/16"	"12:39:52"	1460983092.12899	10000062.371	82.682	29.957	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"452"	24	1	"04/18/16 12:50:05"	1460983705.20437	-22.42	0.165	9999999	0	-28.141	9.372	74.44	0.116	0.818	0.001	55.194	0	9999999	0	25.669	0.065	0.28	0.003	0.008	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	834	" mtotal=1020.11. Pssim=834.2 Torr."	"04/18/16"	"12:50:05"	1460983705.20437	10000054.194	75.258	25.949	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"453"	25	1	"04/18/16 13:00:17"	1460984316.89215	-22.47	0.18	9999999	0	-23.944	8.569	74.619	0.114	0.82	0.001	60.455	0	9999999	0	26.005	0.091	0.285	0.003	0.008	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	834	" mtotal=1020.11. "	"04/18/16"	"13:00:17"	1460984316.89215	10000059.455	75.439	26.29	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"454"	26	1	"04/18/16 13:10:11"	1460984911.82692	-22.386	0.149	9999999	0	-26.126	9.506	76.811	0.122	0.844	0.001	55.753	0	9999999	0	25.786	0.085	0.282	0.003	0.008	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	832	" mtotal=928.88. Pssim=832.4 Torr."	"04/18/16"	"13:10:11"	1460984911.82692	10000054.753	77.655	26.068	NA	NA	1025.71	10	769.345768562217	21.6287665182035	0	9999999
"455"	27	1	"04/18/16 13:21:03"	1460985562.72131	-22.463	0.156	9999999	0	-27.679	8.265	76.798	0.108	0.844	0.001	53.109	0	9999999	0	25.974	0.085	0.284	0.002	0.007	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	833	" mtotal=928.88. "	"04/18/16"	"13:21:03"	1460985562.72131	10000052.109	77.642	26.258	NA	NA	1025.71	10	769.345768562217	21.6547626318071	0	9999999
"456"	28	1	"04/18/16 13:33:58"	1460986337.68447	-22.395	0.161	9999999	0	-26.368	10.263	79.982	0.126	0.879	0.001	55.691	0	9999999	0	26.448	0.08	0.289	0.003	0.009	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	834	" mtotal=850.32. Pssim=833.8 Torr."	"04/18/16"	"13:33:58"	1460986337.68447	10000054.691	80.861	26.737	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"457"	29	1	"04/18/16 14:38:56"	1460990236.3499	-22.491	0.161	9999999	0	-24.957	11.381	77.551	0.104	0.852	0.001	49.305	0	9999999	0	26.938	0.067	0.295	0.003	-0.001	0	0	NA	NA	NA	NA	NA	NA	"32"	32	1	834	" mtotal=850.32. Pssim=833.9 Torr. about 1 hour since last measurement."	"04/18/16"	"14:38:56"	1460990236.3499	10000048.305	78.403	27.233	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"458"	30	1	"04/18/16 14:49:23"	1460990863.03327	-22.438	0.14	9999999	0	-25.305	9.712	78.615	0.124	0.864	0.001	49.603	0	9999999	0	27.177	0.083	0.298	0.003	0.007	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	834	" mtotal=850.32.  "	"04/18/16"	"14:49:23"	1460990863.03327	10000048.603	79.479	27.475	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"459"	31	1	"04/18/16 15:01:39"	1460991599.0216	-22.459	0.148	9999999	0	-24.158	8.543	80.563	0.128	0.885	0.001	59.251	0	9999999	0	29.451	0.085	0.323	0.003	0.013	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	834	" mtotal=790.55. Pssim=834.0 Torr. "	"04/18/16"	"15:01:39"	1460991599.0216	10000058.251	81.448	29.774	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"460"	32	1	"04/18/16 15:11:37"	1460992197.18547	-22.441	0.159	9999999	0	-26.002	9.176	80.274	0.124	0.882	0.001	61.036	0	9999999	0	29.142	0.077	0.319	0.003	0.024	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	834	" mtotal=790.55.  "	"04/18/16"	"15:11:37"	1460992197.18547	10000060.036	81.156	29.461	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"462"	34	1	"04/18/16 15:33:26"	1460993505.72081	-22.512	0.163	9999999	0	-22.739	9.22	79.602	0.123	0.875	0.001	61.298	0	9999999	0	29.649	0.087	0.326	0.003	0.026	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	1	834	" mtotal=862.82. "	"04/18/16"	"15:33:26"	1460993505.72081	10000060.298	80.477	29.975	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"463"	35	1	"04/18/16 15:43:21"	1460994100.89778	-22.48	0.148	9999999	0	-14.043	8.907	79.051	0.127	0.869	0.001	50.101	0	9999999	0	29.568	0.08	0.328	0.003	0.033	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	1	834	" mtotal=862.82. Pssim=833.9 Torr."	"04/18/16"	"15:43:21"	1460994100.89778	10000049.101	79.92	29.896	NA	NA	1025.71	10	769.345768562217	21.6807587454107	0	9999999
"497"	27	1	"04/19/16 11:47:42"	1461066361.90289	-72.881	2.595	-74.752	1.292	-9.123	0.832	3.006	0.009	0.032	0	3.018	0.005	0.032	0	339.516	0.241	3.818	0.004	0.561	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	10	835	" mtotal=622.79. Pssim=834.5 Torr. maybe contaminated with high standard?"	"04/19/16"	"11:47:42"	1461066361.90289	3.05	3.038	343.334	NA	NA	1025.95	11	769.525783366065	2.17016770080799	0	-74.752
