"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"375"	21	1	"07/21/16 13:48:31"	1469123214.96257	-36.646	1.169	-38.049	0.749	-21.078	3.368	7.257	0.013	0.079	0	7.254	0.011	0.078	0	75.612	0.158	0.832	0.004	0.009	0.001	0	NA	NA	NA	NA	NA	NA	44	66	3	868	" Mtot = 961.73."	"07/21/16"	"13:48:31"	7.332	7.336	76.444	NA	NA	1019.79	35	764.905403400633	7.56520563319357	0	-38.049
"376"	22	1	"07/21/16 13:58:37"	1469123821.06269	-36.776	1.229	-38.274	0.835	-22.554	3.258	7.088	0.013	0.077	0	7.087	0.011	0.077	0	75.204	0.157	0.826	0.003	0.014	0.001	0	NA	NA	NA	NA	NA	NA	44	66	3	868	" Mtot = 961.73."	"07/21/16"	"13:58:37"	7.164	7.165	76.03	NA	NA	1019.79	35	764.905403400633	7.56520563319357	0	-38.274
"377"	23	1	"07/21/16 14:08:44"	1469124428.09863	-36.866	1.032	-37.979	0.796	-21.242	3.435	8.123	0.014	0.088	0	8.118	0.012	0.088	0	77.763	0.171	0.855	0.004	0.015	0.001	0	NA	NA	NA	NA	NA	NA	46	67	3	868	" Mtot = 889.83."	"07/21/16"	"14:08:44"	8.206	8.211	78.618	NA	NA	1019.79	35	764.905403400633	7.56520563319357	0	-37.979
"378"	24	1	"07/21/16 14:18:57"	1469125041.8225	-37.104	0.959	-38.138	0.685	-21.206	2.708	8.13	0.014	0.088	0	8.125	0.013	0.088	0	81.984	0.168	0.902	0.003	0.015	0.001	0	NA	NA	NA	NA	NA	NA	46	67	3	868	" Mtot = 889.83."	"07/21/16"	"14:18:57"	8.213	8.218	82.886	NA	NA	1019.79	35	764.905403400633	7.56520563319357	0	-38.138
"379"	25	1	"07/21/16 14:29:03"	1469125648.67655	-36.884	0.884	-38.145	0.752	-21.192	3.723	7.499	0.011	0.081	0	7.496	0.011	0.081	0	75.205	0.156	0.827	0.003	0.015	0.001	0	NA	NA	NA	NA	NA	NA	48	68	3	867	" Mtot = 890.51. 0.5 mM BES"	"07/21/16"	"14:29:03"	7.577	7.58	76.032	NA	NA	1019.79	35	764.905403400633	7.55648995850095	0	-38.145
"381"	27	1	"07/21/16 14:50:20"	1469126924.90273	-36.99	1.146	-38.113	0.662	-101.547	23.926	7.574	0.013	0.082	0	7.571	0.012	0.082	0	9.228	0.114	0.093	0.003	0.015	0.001	0	NA	NA	NA	NA	NA	NA	41	69	3	867	" Mtot = 838.77. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"14:50:20"	7.653	7.656	9.321	NA	NA	1019.79	35	764.905403400633	7.55648995850095	0	-38.113
"382"	28	1	"07/21/16 15:00:20"	1469127524.75245	-36.671	0.961	-37.988	0.657	-109.447	27.807	7.644	0.013	0.083	0	7.642	0.012	0.083	0	8.443	0.106	0.085	0.003	0.015	0.001	0	NA	NA	NA	NA	NA	NA	41	69	3	867	" Mtot = 838.77. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"15:00:20"	7.725	7.727	8.528	NA	NA	1019.79	35	764.905403400633	7.55648995850095	0	-37.988
"390"	36	1	"07/21/16 16:28:38"	1469132823.31676	-22.67	0.169	9999999	0	-55.162	9.593	73.676	0.115	0.809	0.001	57.006	0	9999999	0	25.888	0.113	0.275	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	19	70	1	866	" Mtot = 908.21."	"07/21/16"	"16:28:38"	10000056.006	74.485	26.163	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"391"	37	1	"07/21/16 16:38:45"	1469133429.27403	-22.631	0.153	9999999	0	-55.656	8.101	73.657	0.116	0.809	0.001	58.257	0	9999999	0	26.783	0.124	0.284	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	19	70	1	866	" Mtot = 908.21."	"07/21/16"	"16:38:45"	10000057.257	74.466	27.067	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"392"	38	1	"07/21/16 16:49:59"	1469134103.68626	-22.745	0.15	9999999	0	-50.116	9.483	72.341	0.114	0.795	0.001	60.054	0	9999999	0	28.917	0.129	0.309	0.003	0.011	0.001	0	NA	NA	NA	NA	NA	NA	40	71	1	866	" Mtot = 882.03."	"07/21/16"	"16:49:59"	10000059.054	73.136	29.226	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"393"	39	1	"07/21/16 17:00:08"	1469134712.98717	-22.692	0.125	9999999	0	-50.884	7.133	72.036	0.114	0.791	0.001	59.493	0	9999999	0	28.949	0.136	0.309	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	40	71	1	866	" Mtot = 882.03."	"07/21/16"	"17:00:08"	10000058.493	72.827	29.258	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"394"	40	1	"07/21/16 17:10:58"	1469135362.60912	-22.735	0.146	9999999	0	-50.64	8.734	70.347	0.115	0.773	0.001	54.653	0	9999999	0	29.157	0.13	0.311	0.003	0.011	0.001	0	NA	NA	NA	NA	NA	NA	47	72	1	866	" Mtot = 921.89. 0.5 mM BES"	"07/21/16"	"17:10:58"	10000053.653	71.12	29.468	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"395"	41	1	"07/21/16 17:20:46"	1469135950.10859	-22.692	0.152	9999999	0	-53.446	9.905	70.654	0.111	0.776	0.001	57.438	0	9999999	0	27.252	0.13	0.29	0.004	0.012	0.001	0	NA	NA	NA	NA	NA	NA	47	72	1	866	" Mtot = 921.89. 0.5 mM BES"	"07/21/16"	"17:20:46"	10000056.438	71.43	27.542	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"396"	42	1	"07/21/16 17:30:40"	1469136544.80204	-22.501	0.174	9999999	0	-164.188	35.858	70.974	0.112	0.78	0.001	57.466	0	9999999	0	6.545	0.109	0.061	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	50	73	1	866	" Mtot = 840.46. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"17:30:40"	10000056.466	71.754	6.606	NA	NA	1019.79	35	764.905403400633	22.643322851425	0	9999999
"397"	43	1	"07/21/16 17:41:40"	1469137204.24812	-22.617	0.179	9999999	0	-184.458	42.033	70.757	0.113	0.777	0.001	46.101	0	9999999	0	5.847	0.104	0.054	0.003	0.011	0.001	0	NA	NA	NA	NA	NA	NA	50	73	1	865	" Mtot = 840.46. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"17:41:40"	10000045.101	71.534	5.901	NA	NA	1019.79	35	764.905403400633	22.6171758273471	0	9999999
"407"	7	1	"08/01/16 12:28:06"	1470068790.1734	-66.614	2.01	-44.554	1.663	-342.72	3.206	3.094	0.006	0.032	0	3.005	0.005	0.032	0	1743.407	4.64	12.889	0.058	0.056	0.004	1	NA	NA	NA	NA	NA	NA	8	50	3	873	" Mtot = 951.33. CO2 alarm and ChemDetect ON."	"08/01/16"	"12:28:06"	3.037	3.126	1756.296	NA	NA	1017.29	37	763.030249193883	7.62748266683876	0	-44.554
"408"	8	1	"08/01/16 12:38:04"	1470069388.46156	-67.015	3.869	-44.97	2.572	-307.052	5.066	2.003	0.007	0.021	0	1.946	0.003	0.021	0	1116.966	2.67	8.706	0.058	0.059	0.004	0	NA	NA	NA	NA	NA	NA	8	50	2	873	" Mtot = 951.33. "	"08/01/16"	"12:38:04"	1.967	2.024	1125.672	NA	NA	1017.29	37	763.030249193883	11.4412240002581	0	-44.97
"409"	9	1	"08/01/16 12:48:11"	1470069994.11271	-67.743	3.707	-45.416	2.625	-314.282	6.379	2.008	0.007	0.021	0	1.95	0.003	0.021	0	1111.991	2.222	8.577	0.073	0.059	0.004	0	NA	NA	NA	NA	NA	NA	8	50	2	873	" Mtot = 951.33. "	"08/01/16"	"12:48:11"	1.971	2.029	1120.568	NA	NA	1017.29	37	763.030249193883	11.4412240002581	0	-45.416
"410"	10	1	"08/01/16 13:13:33"	1470071516.99806	-43.35	2.762	-41.733	1.875	-80.39	6.558	2.527	0.008	0.027	0	2.515	0.004	0.027	0	420.092	1.092	4.345	0.036	0.046	0.004	0	NA	NA	NA	NA	NA	NA	15	51	5	872	" Mtot = 816.43."	"08/01/16"	"13:13:33"	2.542	2.554	424.437	NA	NA	1017.29	37	763.030249193883	4.57124734397484	0	-41.733
"411"	11	1	"08/01/16 13:27:04"	1470072328.1435	-42.862	2.721	-41.223	1.911	-43.851	4.251	2.525	0.006	0.027	0	2.514	0.004	0.027	0	420.68	1.087	4.524	0.027	0.055	0.004	0	NA	NA	NA	NA	NA	NA	15	51	5	872	" Mtot = 816.43."	"08/01/16"	"13:27:04"	2.541	2.552	425.204	NA	NA	1017.29	37	763.030249193883	4.57124734397484	0	-41.223
"412"	12	1	"08/01/16 13:37:45"	1470072967.7108	-41.753	2.613	-40.889	1.911	-19.902	2.771	2.866	0.007	0.031	0	2.856	0.005	0.031	0	676.937	1.566	7.463	0.027	0.061	0.004	0	NA	NA	NA	NA	NA	NA	36	52	5	871	" Mtot = 761.46. 0.5 mM BES"	"08/01/16"	"13:37:45"	2.887	2.897	684.4	NA	NA	1017.29	37	763.030249193883	4.56600508784643	0	-40.889
"414"	14	1	"08/01/16 14:00:07"	1470074309.88681	-42.783	2.459	-40.416	1.567	-73.511	11.516	3.446	0.008	0.037	0	3.431	0.005	0.037	0	20.133	0.177	0.21	0.003	0.065	0.004	0	NA	NA	NA	NA	NA	NA	23	53	5	870	" Mtot = 809.55. 93 mM NaOH. "	"08/01/16"	"14:00:07"	3.468	3.483	20.343	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-40.416
"415"	15	1	"08/01/16 14:10:46"	1470074949.31508	-42.966	2.104	-40.387	1.228	-83.724	23.769	3.462	0.008	0.037	0	3.447	0.005	0.037	0	16.49	0.36	0.17	0.004	0.056	0.004	0	NA	NA	NA	NA	NA	NA	23	53	5	870	" Mtot = 809.55. 93 mM NaOH. "	"08/01/16"	"14:10:46"	3.484	3.499	16.66	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-40.387
"416"	16	1	"08/01/16 14:23:29"	1470075712.91795	-37.097	2.331	-38.094	1.457	-20.217	2.296	3.098	0.009	0.034	0	3.096	0.004	0.033	0	135.548	0.244	1.494	0.004	0.047	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	870	" Mtot = 916.04."	"08/01/16"	"14:23:29"	3.129	3.132	137.042	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-38.094
"417"	17	1	"08/01/16 14:33:43"	1470076326.60925	-36.894	2.525	-38.434	1.715	-18.576	2.124	3.073	0.008	0.033	0	3.073	0.005	0.033	0	137.601	0.324	1.519	0.004	0.05	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	870	" Mtot = 916.04."	"08/01/16"	"14:33:43"	3.106	3.106	139.12	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-38.434
"418"	18	1	"08/01/16 14:47:54"	1470077177.24223	-38.17	2.316	-39.041	1.418	-18.426	2.698	2.945	0.008	0.032	0	2.942	0.004	0.032	0	135.282	0.297	1.493	0.004	0.046	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	870	" Mtot = 825.98."	"08/01/16"	"14:47:54"	2.974	2.977	136.775	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-39.041
"419"	19	1	"08/01/16 14:58:45"	1470077829.20606	-37.545	2.593	-38.912	1.675	-17.934	2.145	2.934	0.007	0.032	0	2.933	0.004	0.032	0	139.066	0.222	1.536	0.004	0.044	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	871	" Mtot = 825.98."	"08/01/16"	"14:58:45"	2.965	2.966	140.602	NA	NA	1017.29	37	763.030249193883	4.56600508784643	0	-38.912
"420"	20	1	"08/01/16 15:10:50"	1470078553.22551	-38.09	2.702	-39.506	1.716	-17.432	1.977	3.033	0.009	0.033	0	3.032	0.004	0.033	0	139.46	0.192	1.541	0.004	0.042	0.003	0	NA	NA	NA	NA	NA	NA	49	64	5	870	" Mtot = 834.15. 0.5 mM BES"	"08/01/16"	"15:10:50"	3.065	3.066	141.001	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-39.506
"421"	21	1	"08/01/16 15:20:58"	1470079162.68676	-38.151	2.614	-39.166	1.56	-16.893	2.016	3.047	0.009	0.033	0	3.045	0.005	0.033	0	140.872	0.219	1.557	0.004	0.045	0.003	0	NA	NA	NA	NA	NA	NA	49	64	5	870	" Mtot = 834.15. 0.5 mM BES"	"08/01/16"	"15:20:58"	3.078	3.08	142.429	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-39.166
"422"	22	1	"08/01/16 15:34:42"	1470079983.65788	-37.894	2.403	-39.147	1.709	-80.878	23.772	3.262	0.007	0.035	0	3.261	0.005	0.035	0	9.561	0.142	0.099	0.003	0.04	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	870	" Mtot = 901.14. 93 mM NaOH. "	"08/01/16"	"15:34:42"	3.296	3.297	9.66	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-39.147
"423"	23	1	"08/01/16 15:45:36"	1470080639.32939	-38.612	2.412	-39.883	1.75	-86.515	27.01	3.279	0.008	0.035	0	3.278	0.005	0.035	0	8.682	0.127	0.089	0.003	0.043	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	870	" Mtot = 901.14. 93 mM NaOH. "	"08/01/16"	"15:45:36"	3.313	3.314	8.771	NA	NA	1017.29	37	763.030249193883	4.56076283171802	0	-39.883
"428"	28	1	"08/01/16 16:49:53"	1470084497.53749	-36.684	1.211	-37.996	0.983	-22.774	3.286	7.017	0.012	0.076	0	7.016	0.01	0.076	0	71.872	0.164	0.79	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	44	66	3	870	" Mtot = 961.73."	"08/01/16"	"16:49:53"	7.092	7.093	72.662	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-37.996
"429"	29	1	"08/01/16 17:00:23"	1470085127.67236	-37.201	1.18	-38.263	0.657	-23.638	3.033	7.013	0.015	0.076	0	7.009	0.01	0.076	0	76.653	0.139	0.841	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	44	66	3	870	" Mtot = 961.73."	"08/01/16"	"17:00:23"	7.085	7.089	77.494	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.263
"430"	30	1	"08/01/16 17:11:20"	1470085782.99218	-36.935	1.022	-38.204	0.673	-22.579	3.579	8.152	0.014	0.088	0	8.15	0.011	0.088	0	80.722	0.155	0.887	0.004	0.029	0.002	0	NA	NA	NA	NA	NA	NA	46	67	3	870	" Mtot = 889.83."	"08/01/16"	"17:11:20"	8.238	8.24	81.609	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.204
"431"	31	1	"08/01/16 17:23:17"	1470086501.75696	-37.157	0.78	-38.355	0.658	-22.671	2.567	8.003	0.014	0.087	0	8	0.011	0.086	0	81.187	0.159	0.892	0.003	0.027	0.002	0	NA	NA	NA	NA	NA	NA	46	67	3	871	" Mtot = 889.83."	"08/01/16"	"17:23:17"	8.086	8.09	82.079	NA	NA	1017.29	37	763.030249193883	7.61000847974405	0	-38.355
"432"	32	1	"08/01/16 17:33:21"	1470087104.08187	-37.217	1.175	-38.322	0.794	-22.526	2.418	7.402	0.012	0.08	0	7.399	0.011	0.08	0	93.761	0.192	1.03	0.003	0.031	0.002	0	NA	NA	NA	NA	NA	NA	48	68	3	871	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:33:21"	7.479	7.482	94.791	NA	NA	1017.29	37	763.030249193883	7.61000847974405	0	-38.322
"433"	33	1	"08/01/16 17:45:34"	1470087837.05508	-37.365	0.899	-38.817	0.65	-17.45	2.111	6.886	0.011	0.075	0	6.884	0.01	0.074	0	121.923	0.199	1.347	0.004	0.027	0.002	0	NA	NA	NA	NA	NA	NA	48	68	3	870	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:45:34"	6.958	6.961	123.27	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.817
"434"	34	1	"08/01/16 17:57:03"	1470088526.83729	-37.641	1.053	-38.572	0.653	-16.467	1.588	7.058	0.012	0.076	0	7.053	0.011	0.076	0	124.868	0.207	1.381	0.003	0.027	0.002	0	NA	NA	NA	NA	NA	NA	48	68	3	870	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:57:03"	7.129	7.134	126.249	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.572
"435"	35	1	"08/01/16 18:07:20"	1470089141.9769	-37.512	1.273	-38.568	0.723	-47.674	8.025	7.411	0.015	0.08	0	7.407	0.011	0.08	0	24.471	0.143	0.262	0.003	0.033	0.002	0	NA	NA	NA	NA	NA	NA	41	69	3	870	" Mtot = 838.77. 93 mM NaOH."	"08/01/16"	"18:07:20"	7.487	7.491	24.733	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.568
"436"	36	1	"08/01/16 18:17:35"	1470089757.71052	-37.008	0.947	-38.02	0.711	-74.074	14.833	7.471	0.012	0.081	0	7.468	0.011	0.081	0	13.873	0.111	0.144	0.002	0.048	0.002	0	NA	NA	NA	NA	NA	NA	41	69	3	870	" Mtot = 838.77. 93 mM NaOH."	"08/01/16"	"18:17:35"	7.549	7.552	14.017	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-38.02
"437"	37	1	"08/01/16 18:27:33"	1470090356.48061	-47.029	0.766	-48.618	0.593	-80.451	21.268	10.095	0.016	0.108	0	10.085	0.015	0.108	0	11.798	0.1	0.122	0.003	0.051	0.002	0	NA	NA	NA	NA	NA	NA	11	56	3	870	" Mtot = 820.55. 93 mM NaOH."	"08/01/16"	"18:27:33"	10.193	10.203	11.92	NA	NA	1017.29	37	763.030249193883	7.6012713861967	0	-48.618
"438"	38	1	"08/01/16 18:37:42"	1470090966.42652	-47.022	0.951	-48.425	0.682	-72.562	18.446	9.805	0.015	0.105	0	9.793	0.014	0.105	0	14.748	0.102	0.154	0.003	0.044	0.002	0	NA	NA	NA	NA	NA	NA	11	56	3	869	" Mtot = 820.55. 93 mM NaOH."	"08/01/16"	"18:37:42"	9.898	9.91	14.902	NA	NA	1017.29	37	763.030249193883	7.59253429264935	0	-48.425
"439"	39	1	"08/01/16 18:47:49"	1470091572.46991	-37.611	0.719	-38.268	0.661	-11.327	0.608	7.677	0.012	0.083	0	7.67	0.012	0.083	0	242.522	0.265	2.697	0.003	0.064	0.003	0	NA	NA	NA	NA	NA	NA	30	58	3	869	" Mtot = 904.63."	"08/01/16"	"18:47:49"	7.753	7.76	245.219	NA	NA	1017.29	37	763.030249193883	7.59253429264935	0	-38.268
"440"	40	1	"08/01/16 18:59:15"	1470092259.597	-37.829	1.019	-38.21	0.808	-10.982	0.92	7.252	0.012	0.078	0	7.244	0.011	0.078	0	253.46	0.252	2.82	0.004	0.072	0.003	0	NA	NA	NA	NA	NA	NA	30	58	3	869	" Mtot = 904.63."	"08/01/16"	"18:59:15"	7.322	7.33	256.28	NA	NA	1017.29	37	763.030249193883	7.59253429264935	0	-38.21
"441"	41	1	"08/01/16 19:10:11"	1470092914.57056	-37.872	0.683	-38.394	0.483	-8.945	0.602	9.282	0.015	0.1	0	9.273	0.014	0.1	0	427.422	0.436	4.767	0.006	0.08	0.003	0	NA	NA	NA	NA	NA	NA	14	59	5	868	" Mtot = 884.49."	"08/01/16"	"19:10:11"	9.373	9.382	432.189	NA	NA	1017.29	37	763.030249193883	4.5502783194612	0	-38.394
"442"	42	1	"08/01/16 19:19:56"	1470093500.33205	-38.212	0.785	-38.71	0.582	-9.079	0.547	9.337	0.016	0.101	0	9.327	0.014	0.101	0	441.84	0.45	4.927	0.005	0.08	0.003	0	NA	NA	NA	NA	NA	NA	14	59	5	868	" Mtot = 884.49."	"08/01/16"	"19:19:56"	9.428	9.438	446.767	NA	NA	1017.29	37	763.030249193883	4.5502783194612	0	-38.71
"443"	43	1	"08/01/16 19:30:22"	1470094125.45092	-37.29	1.115	-38.129	0.739	-9.914	0.543	7.339	0.014	0.079	0	7.333	0.012	0.079	0	467.734	0.446	5.21	0.006	0.065	0.003	0	NA	NA	NA	NA	NA	NA	33	61	5	868	" Mtot = 798.36. 0.5 mM BES"	"08/01/16"	"19:30:22"	7.412	7.418	472.944	NA	NA	1017.29	37	763.030249193883	4.5502783194612	0	-38.129
"444"	44	1	"08/01/16 19:39:59"	1470094702.85712	-37.898	1.153	-38.667	0.734	-9.902	0.573	7.603	0.014	0.082	0	7.596	0.012	0.082	0	478.312	0.47	5.327	0.007	0.056	0.002	0	NA	NA	NA	NA	NA	NA	33	61	5	867	" Mtot = 798.36. 0.5 mM BES"	"08/01/16"	"19:39:59"	7.678	7.685	483.639	NA	NA	1017.29	37	763.030249193883	4.54503606333279	0	-38.667
"459"	12	1	"08/02/16 09:41:20"	1470145184.52201	-22.531	0.16	9999999	0	-36.936	5.941	72.314	0.109	0.795	0.001	61.621	0	9999999	0	35.218	0.141	0.381	0.003	0.033	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	872	" Mtot = 908.21."	"08/02/16"	"09:41:20"	10000060.621	73.109	35.599	NA	NA	1017.88	38	763.472785586676	22.8429884198146	0	9999999
"460"	13	1	"08/02/16 09:53:15"	1470145900.02866	-22.57	0.161	9999999	0	-36.544	6.33	70.891	0.108	0.779	0.001	60.543	0	9999999	0	34.606	0.137	0.375	0.003	0.028	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	871	" Mtot = 908.21."	"08/02/16"	"09:53:15"	10000059.543	71.67	34.981	NA	NA	1017.88	38	763.472785586676	22.8167923321772	0	9999999
"461"	14	1	"08/02/16 10:03:41"	1470146525.75197	-22.536	0.168	9999999	0	-34.445	7.103	70.946	0.106	0.78	0.001	60.977	0	9999999	0	32.495	0.12	0.353	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	872	" Mtot = 882.03."	"08/02/16"	"10:03:41"	10000059.977	71.726	32.848	NA	NA	1017.88	38	763.472785586676	22.8429884198146	0	9999999
"462"	15	1	"08/02/16 10:13:45"	1470147129.46584	-22.534	0.193	9999999	0	-36.484	8.452	71.099	0.107	0.781	0.001	61.186	0	9999999	0	31.814	0.129	0.345	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	872	" Mtot = 882.03."	"08/02/16"	"10:13:45"	10000060.186	71.88	32.159	NA	NA	1017.88	38	763.472785586676	22.8429884198146	0	9999999
"463"	16	1	"08/02/16 10:24:05"	1470147749.81669	-22.484	0.165	9999999	0	-39.037	7.185	71.545	0.109	0.786	0.001	64.945	0	9999999	0	31.048	0.139	0.335	0.003	0.029	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	871	" Mtot = 921.89. 0.5 mM BES"	"08/02/16"	"10:24:05"	10000063.945	72.331	31.383	NA	NA	1017.88	38	763.472785586676	22.8167923321772	0	9999999
"465"	18	1	"08/02/16 10:44:49"	1470148993.94479	-22.51	0.154	9999999	0	-36.902	6.834	71.299	0.105	0.784	0.001	60.695	0	9999999	0	31.614	0.133	0.342	0.003	0.028	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	870	" Mtot = 921.89. 0.5 mM BES"	"08/02/16"	"10:44:49"	10000059.695	72.083	31.956	NA	NA	1017.88	38	763.472785586676	22.7905962445398	0	9999999
"466"	19	1	"08/02/16 10:54:27"	1470149571.2523	-22.459	0.169	9999999	0	-106.32	29.929	69.991	0.106	0.769	0.001	62.456	0	9999999	0	7.517	0.097	0.076	0.003	0.028	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	870	" Mtot = 840.46. 93 mM NaOH."	"08/02/16"	"10:54:27"	10000061.456	70.76	7.593	NA	NA	1017.88	38	763.472785586676	22.7905962445398	0	9999999
"467"	20	1	"08/02/16 11:06:04"	1470150268.69944	-22.569	0.188	9999999	0	-126.2	28.053	70.68	0.104	0.777	0.001	61.943	0	9999999	0	6.739	0.1	0.066	0.002	0.023	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	870	" Mtot = 840.46. 93 mM NaOH."	"08/02/16"	"11:06:04"	10000060.943	71.457	6.805	NA	NA	1017.88	38	763.472785586676	22.7905962445398	0	9999999
"471"	24	1	"08/02/16 11:46:56"	1470152719.64881	9.901	0.862	14.477	0.582	-21.509	4.261	9.749	0.018	0.111	0	9.742	0.016	0.111	0	60.007	0.154	0.66	0.003	0.027	0.002	0	NA	NA	NA	NA	NA	NA	28	60	0.5	869	" Mtot = 809.11."	"08/02/16"	"11:46:56"	9.853	9.86	60.667	NA	NA	1017.88	38	763.472785586676	45.5288003138047	0	14.477
"472"	25	1	"08/02/16 11:56:37"	1470153300.3167	9.999	0.703	14.363	0.521	-21.501	3.517	9.504	0.014	0.108	0	9.5	0.015	0.108	0	57.063	0.148	0.628	0.003	0.028	0.002	0	NA	NA	NA	NA	NA	NA	28	60	0.5	870	" Mtot = 809.11."	"08/02/16"	"11:56:37"	9.608	9.612	57.691	NA	NA	1017.88	38	763.472785586676	45.5811924890795	0	14.363
"486"	7	1	"08/04/16 09:20:26"	1470316730.63907	13.512	0.768	18.48	0.638	-20.768	3.87	6.925	0.012	0.079	0	6.921	0.011	0.079	0	74.035	0.202	0.815	0.004	0.038	0.002	0	NA	NA	NA	NA	NA	NA	28	60	0.5	872	" Mtot = 809.11."	"08/04/16"	"09:20:26"	7	7.004	74.85	NA	NA	1020.45	40	765.400444111215	45.5709168558202	0	18.48
"487"	8	1	"08/04/16 09:30:17"	1470317321.11844	13.754	1.051	18.603	0.656	-22.623	3.483	6.843	0.012	0.078	0	6.84	0.011	0.078	0	68.521	0.201	0.753	0.004	0.038	0.002	0	NA	NA	NA	NA	NA	NA	28	60	0.5	872	" Mtot = 809.11."	"08/04/16"	"09:30:17"	6.918	6.921	69.274	NA	NA	1020.45	40	765.400444111215	45.5709168558202	0	18.603
"499"	6	1	"08/11/16 09:02:37"	1470920459.7125	-64.987	3.004	-44.808	2.708	-1344.53	4.881	2.151	0.007	0.023	0	2.095	0.003	0.023	0	1154.559	0.787	-4.475	0.061	0.065	0.003	0	NA	NA	NA	NA	NA	NA	8	50	2	882	" Mtot = 951.33. bag around valve looks slightly damaged"	"08/11/16"	"09:02:37"	2.118	2.174	1150.084	NA	NA	1017.76	41	763.382778184752	11.5538367540503	0	-44.808
